id,name,description,req_desc,ability_req,abil_req_val,skill_req,skill_req_val,feat_cat_req,pow_abil_req,mart_abil_req,pow_prof_req,mart_prof_req,speed_req,feat_lvl,lvl_req,uses_per_rec,rec_period,category,ability,tags,char_feat,state_feat
1,'Skilled' Actor,"When acting in a way that would require you to use a non-Charisma skill as part of the act you can roll that skill as part of the act, using your Act Skill bonus. Any outcomes of that Skill roll cannot have lasting effects after the act is over, unless those effects are negative.",,,,,,,,,,,,1,,,,,,,true,false
2,A Martial's Power,"Choose one Power that only contains Power parts. You may add your Martial Proficiency to its relevant d20 rolls and potencies, treating it as a Power Proficiency for that Power. You may choose which Power this is after each Partial Recovery.",,,,,,,,,,,,1,,,,Utility,,"Power,Martial Bonus,",false,false
3,Abjure,"As a basic action, you may make a power attack against creatures' Resolve within 12 spaces of you. You may target a number of creatures equal to your Power Ability. On a success, a target becomes frightened.",,,,,,,,,,,,1,,,,Control,,"Power Attack,Frighten,",false,false
4,Abundant Harvest,"When you succeed a Harvest check to collect forageables, you also gain an additional ¼ of the value of your main harvest in ingredients that can be used for a different purpose.",,,,Perceive,,,,,,,,1,,2,Partial,Utility,,"Harvest,Craft",true,false
5,Abundant Harvest II,"When you succeed a Harvest check to collect forageables, you also gain an additional 1/2 of the value of your main harvest in ingredients that can be used for a different purpose.",,,,,,,,,,,,2,4,,,Utility,,"Harvest,Craft",true,false
6,Acrobat,"With a successful Acrobatics roll (DS 10), you can maneuver through foliage or terrain that allows for aerial acrobatics, such as trees or rafters, ignoring difficult terrain and increasing your speed by 2 for the turn.",,,,Acrobatics,4,,,,,,,1,,,,,,,true,false
7,Action Surge,"As a free action, gain 2 action points.",,,,,,,,,,,,1,,1,Partial,Utility,,Action Point,false,false
8,Action Surge II,"As a free action, gain 2 action points.",,,,,,,,,,,,2,4,2,Partial,Utility,,Action Point,false,false
9,Adapt,Add 1 technique part you are proficient with to a technique upon performing it. Pay the Energy cost for said part. (This does not permanently add technique parts.),,,,,,,,,,1,,1,,3,Partial,Utility,,"Technique,Spend Energy,",false,false
10,Adapt II,"Add up to 2 technique parts you are proficient with to a technique upon performing it. Pay the Energy cost for said parts. (This does not permanently add technique parts, only upon performing.)",,,,,,,,,,2,,2,4,5,Partial,Utility,,"Technique,Spend Energy,",false,false
11,ADHD,"You can focus on two powers at a time, but while doing so, you have -5 on rolls to maintain focus. Roll once for maintaining focus for both powers, losing focus on both on a failure.",,,,,,,,,,,,1,,,,Utility,,"Power,Focus,",false,false
12,Adrenaline,"Your Terminal range increases by 1/2 your Vitality multiplied by your Level to a maximum Terminal range of 75% of your Max Health. This scales off your base Vitality, not including any penalties or bonuses to your Vitality.",,Vitality,1,,,,,,,,,1,,,,Terminal,Vitality,Terminal Increase,false,false
13,Adrenaline II,"Your Terminal range increases by 1/2 Vitality multiplied by your Level plus 2 to a maximum Terminal range of 85% of your Max Health. This scales off your base Vitality, not including any penalties or bonuses to your Vitality.",,Vitality,1,,,,,,,,,2,6,,,Terminal,Vitality,Terminal Increase,false,false
14,Advanced Attack,"Once per turn, when you make a martial attack with an outside bonus more than or equal to +3, you can add 1d6 damage to that attack. Outside bonuses could be bonuses from feats, powers, techniques, or other environmental factors that are not your martial attack bonus.",,,,,,,,,,,,1,,,,Offensive,,"Martial Attack,Advantage,Damage Increase,",false,false
15,Advanced Recall,"When attempting to recall information with a roll, you may choose to treat the roll as if it rolled a 20. Alternatively, you may allow an ally to re-roll an Intelligence-based roll to recall information.",,Intelligence,3,,,,,,,,,1,,1,Full,Utility,Intelligence,Recall,true,false
16,Aerial Tumbler,Increase your long jump distance by your half Acrobatics Skill Bonus.,,,,Acrobatics,,,,,,,,1,,,,Movement,,Jump,true,false
17,Agile Armament,"When wearing armor with a Strength requirement, you may meet that requirement with Agility and Strength combined, to a maximum of 3 from Agility contributing to the requirement.",,"Agility, Strength","2, 2",,,,,,,,,1,,,,Defensive,Agility,"Armor,Strength Requirement,Agility,",false,false
18,Agile Escape,"When rolling to escape the Grappled or Restrained conditions or similar effects, you may use Reflex instead of Might.",,,,,,,,,,,,1,,,,Utility,Agility,"Escape,Grapple",true,false
19,Alchemist,"When crafting items using Alchemy treat Failures as one Failure less, or one Success higher, which can turn 1 Failure into 1 Success. Treat partial failures as one Success.",,,,,,,,,,,,1,,,,,,,true,false
20,Alchemist's Support,"You may administer enhanced consumables made using Alchemy to other creatures as a free action, still requiring an interaction.",,,,Alchemy,,,,,,,,1,,,,Support,,"Alchemy,Brews,Ally,Free Action",false,false
21,All-Seeing,"As a basic action, you gain the ability to sense all creatures as if you could see them within 12 spaces for one minute. You ignore any Obscured, Hidden, and Invisible conditions affecting those creatures.",,,,,,,,,,,,1,,2,Full,Utility,,"Senses,Obscured,Hidden,Invisible",false,false
22,Always Prepared,You cannot be surprised. If an ally within 6 spaces than can hear or see would become surprised you may spend a quick reaction to prevent them from becoming surprised.,,,,,,,,,,,,1,,,,Utility,,Surprise Immunity,false,false
23,Amplify,Increase the damage of any power upon casting it by paying +1 Energy for each +1d2 (up to +1d6 added damage for 3 Energy).,,,,,,,,,,,,1,,3,Partial,Offensive,,"Power,Damage Increase,Energy Cost,",false,false
24,Amplify II,"Increase the damage of any power upon casting it by paying +1 Energy, for each +1d2 (up to +1d12 added damage for 6 Energy).",,,,,,,,,,,,2,4,5,Partial,Offensive,,"Power,Damage Increase,Energy Cost,",false,false
25,Anatomy,Choose 1 creature type or species other than humanoid; your attack rolls and potencies are increased by +2 against targets of this creature type or species as long as you can see them.,,,,,,,,,,,,1,,,,Offensive,,"Attack Bonus,Creature Type,",false,false
26,Anatomy II,For the chosen creature type or species your attack rolls and potencies are increased by 4 against targets of this creature type or species as long as you can see them.,,,,,,,,,,,,2,4,,,,,,false,false
27,Anger Point,"When you take critical damage, increase your Strength by +1 for two rounds.",,,,,,,,,,,,1,,,,Ability Increase,Strength,Critical Hit,false,false
28,Anger Point II,"When you take critical damage, increase your Strength by +2 for two rounds.",,,,,,,,,,,,2,4,,,Ability Increase,Strength,Critical Hit,false,false
