id,name,description,category,base_en,base_tp,op_1_desc,op_1_en,op_1_tp,op_2_desc,op_2_en,op_2_tp,op_3_desc,op_3_en,op_3_tp,type,mechanic,percentage,duration,defense
1,True Damage,Add 1 damage to any Technique.,General,1.5,2,Add 1 additional damage.,1.5,1,,,,,,,Technique,false,false,false,
2,Reaction,25% EN: This technique uses a Basic (or other) reaction instead of action.,General,1.25,0,,,,,,,,,,Technique,true,true,false,
3,Long Action,-12.5% EN: This technique uses a 3 Action Point Long Action.,General,0.875,0,-25% EN: This technique uses a 4 Action Point Long Action.,-0.125,0,,,,,,,Technique,true,true,false,
4,Quick or Free Action,25% EN: This technique uses a quick action to activate instead of a basic action.,General,1.25,0,50% EN: This technique uses a free action to activate instead of a basic action,0.25,0,,,,,,,Technique,true,true,false,
5,Split Damage Dice,"A ""Split"" damage dice is when dice could be represented by less dice of greater size, but are ""split"" into smaller sizes instead. Ie 2d6 instead of 1d12 represents one die ""split"" by splitting 1d12 into 2d6.",General,0.5,0,"Each additional time a die is split, ie 3d4 instead of 1d12 is 2 splits instead of 1, this part increases by one.",0.5,0,,,,,,,Technique,true,false,false,
6,Additional Damage,Add 1d4 damage to the technique.,General,2,1,Add an additional 1d2 damage to this technique.,1,0.5,,,,,,,Technique,true,false,false,
7,Add Weapon Attack,Add a weapon attack to this technique.,General,0.25,0,0.25 EN for each 1 TP of the weapons proficiency cost.,0.25,0,,,,,,,Technique,true,false,false,
8,Reckless,When you are the target of an attack you choose to let the attack hit you. If this is the only part you may use it as a reaction.,General,-3,3,,,,,,,,,,Technique,false,false,false,
9,Pass Through,"Roll to hit once, attacking all creatures on a path you moved toward the target of your melee attack, you must move to use this part.",General,5,2,,,,,,,,,,Technique,false,false,false,
10,Spin,"Roll to hit once, attacking all creatures within the reach of your melee attack.",General,5,2,,,,,,,,,,Technique,false,false,false,
11,Stun,Affected target gains stunned 1 for 2 rounds.,General,5,2,Increase level of Stun by 1.,5,1,Increase duration of stun by 1 round.,2,1,,,,Technique,false,false,false,
12,Wind Up,Spend 2 spaces of movement instead of moving to add +1 to your damage roll upon hit. Every 2 spaces spent adds 1 damage.,General,3,2,Make this +1 per 1 space of movement instead.,4,1,,,,,,,Technique,false,false,false,
13,Knockback,"Upon hit, target rolls Might or Reflexes against your Style Potency and on a failure is knocked back 1 space.",General,2.5,2,2.5 EN per space you knock the target back (away from your character) to a maximum of 6 spaces.,2.5,1,"1 TP to raise maximum knockback by 2 (e.g., up to 8, 10, and so on).",1,1,,,,Technique,false,false,false,
14,Slow,"Target hit rolls Fortitude against your Style Potency, on a failure gaining slow 1.",General,1.5,2,1.5 EN for each increased level of the slowed condition.,1.5,1,,,,,,,Technique,false,false,false,
15,Daze,"Target hit rolls Fortitude against your Style Potency; on a failure, becomes dazed for one round.",General,2,2,2 EN for each additional round dazed.,2,1,,,,,,,Technique,false,false,false,
16,Wide Swing,Roll to hit three connected spaces in your melee range.,General,3,2,,,,,,,,,,Technique,false,false,false,
17,Enemy Strength Reduction,"Target hit rolls Might against your Style Potency; on a failure, their Strength decreases by 1.",General,2.5,2,2.5 EN for each additional 1 Strength reduced.,2.5,1,,,,,,,Technique,false,false,false,
18,Reach,"This attack has 'reach,' allowing you to target one space beyond your Melee Range with melee attacks.",General,2,2,,,,,,,,,,Technique,false,false,false,
19,Expose,"Target hit rolls Reflex against your Style Potency; upon failure, the creature becomes Exposed 2.",General,1.5,2,1.5 EN to cause the exposed condition to last for the next two attacks.,1.5,1,1.5 EN for each additional +1 to the exposed condition.,1.5,1,,,,Technique,false,false,false,
20,Enemy Attack Reduction,"Target hit rolls their choice of Might or Fortitude against your Style Potency; upon failure, target has -1 to attack for a round.",General,1.5,2,1.5 EN for each additional -1.,1.5,1,,,,,,,Technique,false,false,false,
21,Bleed,Target hit gains the bleeding 1 condition.,General,2.5,2,2.5 EN for each +1 to the bleeding condition.,2.5,1,,,,,,,Technique,false,false,false,
22,Situational Exploit,-25% EN: Technique can only be used when a target misses you with an attack roll. Adding this part makes this Technique usable as a basic reaction.,Decrease,0.75,2,,,,,,,,,,Technique,false,true,false,
23,Upward Thrust,"Target hit rolls Agility or Might against your Style Potency, adding +2 to the roll for every 200 kg they weigh; upon failure, it is thrust 1 space into the air above its current space.",Strength,1.5,2,1.5 EN for each additional space upward to a maximum of 5.,1.5,1,,,,,,,Technique,false,false,false,
24,Strength Knock Prone,"Target hit rolls Might against your Style Potency, falling prone on a failure.",Strength,2.5,2,,,,,,,,,,Technique,false,false,false,
25,Pin,"Attack target’s Might, +1 to your attack for every 200 kg you weigh. Target hit is immobile and may roll Might against your Style Potency to escape. Rolling to escape has a penalty equal to -1 for every 200 kg you weigh.",Strength,3,2,,,,,,,,,,Technique,false,false,false,
26,Grapple (Technique),"You take the grapple action as part of this Technique. If this is the only part, this can be done as a quick action.",Strength,2.5,2,,,,,,,,,,Technique,false,false,false,
